time	count
7448239.00	0.00
7448302.00	0.25
7448305.00	0.00
7448394.00	0.25
7448409.00	0.00
7448439.00	0.25
7448442.00	0.00
7448517.00	0.25
7448520.00	0.00
7448585.00	0.25
7448589.00	0.00
7448654.00	0.25
7448661.00	0.00
7448748.00	0.25
7448780.00	0.00
7448802.00	0.25
7448806.00	0.00
7448868.00	0.25
7448872.00	0.00
7448938.00	0.25
7448941.00	0.00
7449029.00	0.25
7449032.00	0.00
7449599.00	0.25
7449602.00	0.00
7449683.00	0.25
7449691.00	0.00
7449752.00	0.25
7449755.00	0.00
7449826.00	0.25
7449829.00	0.00
7449892.00	0.25
7449895.00	0.00
7449967.00	0.25
7449970.00	0.00
7450040.00	0.25
7450047.00	0.00
7450110.00	0.25
7450113.00	0.00
7450178.00	0.25
7450181.00	0.00
7450247.00	0.25
7450250.00	0.00
7450316.00	0.25
7450319.00	0.00
7450384.00	0.25
7450387.00	0.00
7450453.00	0.25
7450460.00	0.00
7450521.00	0.25
7450524.00	0.00
7450589.00	0.25
7450592.00	0.00
7450657.00	0.25
7450661.00	0.00
7450735.00	0.25
7450738.00	0.00
7451321.00	0.25
7451330.00	0.00
7451435.00	0.25
7451452.00	0.00
7451479.00	0.25
7451482.00	0.00
7451551.00	0.25
7451554.00	0.00
7451644.00	0.25
7451659.00	0.00
7451689.00	0.25
7451692.00	0.00
7451758.00	0.25
7451761.00	0.00
7451842.00	0.25
7451850.00	0.00
7451911.00	0.25
7451914.00	0.00
7451990.00	0.25
7451994.00	0.00
7452061.00	0.25
7452064.00	0.00
7452130.00	0.25
7452133.00	0.00
7452201.00	0.25
7452208.00	0.00
7452270.00	0.25
7452274.00	0.00
7452336.00	0.25
7452339.00	0.00
7452405.00	0.25
7452409.00	0.00
7452483.00	0.25
7452485.00	0.00
7453064.00	0.25
7453067.00	0.00
7453149.00	0.25
7453156.00	0.00
7453242.00	0.25
7453258.00	0.00
7453288.00	0.25
7453291.00	0.00
7453358.00	0.25
7453361.00	0.00
7453426.00	0.25
7453429.00	0.00
7453495.00	0.25
7453498.00	0.00
7453564.00	0.25
7453570.00	0.00
7453636.00	0.25
7453639.00	0.00
7453701.00	0.25
7453704.00	0.00
7453770.00	0.25
7453773.00	0.00
7453838.00	0.25
7453844.00	0.00
7453907.00	0.25
7453910.00	0.00
7453992.00	0.25
7453999.00	0.00
7454068.00	0.25
7454071.00	0.00
7454133.00	0.25
7454136.00	0.00
7454210.00	0.25
7454213.00	0.00
7454770.00	0.25
7454774.00	0.00
7454857.00	0.25
7454864.00	0.00
7454929.00	0.25
7454932.00	0.00
7455004.00	0.25
7455007.00	0.00
7455075.00	0.25
7455078.00	0.00
7455143.00	0.25
7455146.00	0.00
7455215.00	0.25
7455223.00	0.00
7455285.00	0.25
7455288.00	0.00
7455350.00	0.25
7455353.00	0.00
7455418.00	0.25
7455422.00	0.00
7455486.00	0.25
7455489.00	0.00
7455557.00	0.25
7455560.00	0.00
7455622.00	0.25
7455634.00	0.00
7455690.00	0.25
7455693.00	0.00
7455783.00	0.25
7455786.00	0.00
7455882.00	0.25
7455898.00	0.00
7455930.00	0.25
7455934.00	0.00
7456506.00	0.25
7456509.00	0.00
7456614.00	0.25
7456629.00	0.00
7456683.00	0.25
7456695.00	0.00
7456736.00	0.25
7456740.00	0.00
7456806.00	0.25
7456814.00	0.00
7456876.00	0.25
7456879.00	0.00
7456948.00	0.25
7456951.00	0.00
7457022.00	0.25
7457026.00	0.00
7457091.00	0.25
7457098.00	0.00
7457158.00	0.25
7457161.00	0.00
7457229.00	0.25
7457232.00	0.00
7457299.00	0.25
7457302.00	0.00
7457368.00	0.25
7457371.00	0.00
7457439.00	0.25
7457443.00	0.00
7457507.00	0.25
7457513.00	0.00
7457576.00	0.25
7457579.00	0.00
7457654.00	0.25
7457657.00	0.00
7458227.00	0.25
7458230.00	0.00
7458310.00	0.25
7458313.00	0.00
7458384.00	0.25
7458391.00	0.00
7458456.00	0.25
7458459.00	0.00
7458525.00	0.25
7458528.00	0.00
7458593.00	0.25
7458597.00	0.00
7458660.00	0.25
7458663.00	0.00
7458753.00	0.25
7458758.00	0.00
7458810.00	0.25
7458814.00	0.00
7458878.00	0.25
7458886.00	0.00
7458949.00	0.25
7458952.00	0.00
7459047.00	0.25
7459052.00	0.00
7459104.00	0.25
7459107.00	0.00
7459173.00	0.25
7459177.00	0.00
7459240.00	0.25
7459243.00	0.00
7459311.00	0.25
7459320.00	0.00
7459388.00	0.25
7459392.00	0.00
7459967.00	0.25
7459970.00	0.00
7460081.00	0.25
7460097.00	0.00
7460125.00	0.25
7460128.00	0.00
7460195.00	0.25
7460198.00	0.00
7460267.00	0.25
7460270.00	0.00
7460333.00	0.25
7460340.00	0.00
7460407.00	0.25
7460410.00	0.00
7460474.00	0.25
7460477.00	0.00
7460546.00	0.25
7460549.00	0.00
7460612.00	0.25
7460619.00	0.00
7460683.00	0.25
7460686.00	0.00
7460751.00	0.25
7460754.00	0.00
7460817.00	0.25
7460820.00	0.00
7460885.00	0.25
7460888.00	0.00
7460972.00	0.25
7460975.00	0.00
7461030.00	0.25
7461037.00	0.00
7461109.00	0.25
7461112.00	0.00
7461673.00	0.25
7461676.00	0.00
7461757.00	0.25
7461761.00	0.00
7461826.00	0.25
7461829.00	0.00
7461896.00	0.25
7461899.00	0.00
7461973.00	0.25
7461981.00	0.00
7462048.00	0.25
7462051.00	0.00
7462113.00	0.25
7462116.00	0.00
7462185.00	0.25
7462188.00	0.00
7462250.00	0.25
7462253.00	0.00
7462321.00	0.25
7462328.00	0.00
7462387.00	0.25
7462390.00	0.00
7462455.00	0.25
7462458.00	0.00
7462523.00	0.25
7462526.00	0.00
7462591.00	0.25
7462594.00	0.00
7462659.00	0.25
7462666.00	0.00
7462730.00	0.25
7462733.00	0.00
7462807.00	0.25
7462810.00	0.00
7463394.00	0.25
7463398.00	0.00
7463503.00	0.25
7463508.00	0.00
7463562.00	0.25
7463565.00	0.00
7463627.00	0.25
7463631.00	0.00
7463696.00	0.25
7463703.00	0.00
7463775.00	0.25
7463778.00	0.00
7463843.00	0.25
7463846.00	0.00
7463911.00	0.25
7463914.00	0.00
7463989.00	0.25
7463992.00	0.00
7464057.00	0.25
7464064.00	0.00
7464126.00	0.25
7464129.00	0.00
7464197.00	0.25
7464200.00	0.00
7464266.00	0.25
7464269.00	0.00
7464331.00	0.25
7464334.00	0.00
7464401.00	0.25
7464408.00	0.00
7464466.00	0.25
7464470.00	0.00
7464543.00	0.25
7464546.00	0.00
7465113.00	0.25
7465116.00	0.00
7465218.00	0.25
7465233.00	0.00
7465266.00	0.25
7465269.00	0.00
7465336.00	0.25
7465339.00	0.00
7465405.00	0.25
7465412.00	0.00
7465476.00	0.25
7465479.00	0.00
7465545.00	0.25
7465548.00	0.00
7465610.00	0.25
7465613.00	0.00
7465681.00	0.25
7465684.00	0.00
7465750.00	0.25
7465757.00	0.00
7465818.00	0.25
7465821.00	0.00
7465883.00	0.25
7465887.00	0.00
7465971.00	0.25
7465976.00	0.00
7466033.00	0.25
7466036.00	0.00
7466099.00	0.25
7466102.00	0.00
7466170.00	0.25
7466177.00	0.00
7466245.00	0.25
7466249.00	0.00
7466808.00	0.25
7466811.00	0.00
7466893.00	0.25
7466896.00	0.00
7466968.00	0.25
7466971.00	0.00
7467039.00	0.25
7467042.00	0.00
7467110.00	0.25
7467119.00	0.00
7467180.00	0.25
7467183.00	0.00
7467247.00	0.25
7467250.00	0.00
7467315.00	0.25
7467318.00	0.00
7467383.00	0.25
7467386.00	0.00
7467452.00	0.25
7467459.00	0.00
7467523.00	0.25
7467526.00	0.00
7467588.00	0.25
7467591.00	0.00
7467655.00	0.25
7467658.00	0.00
7467726.00	0.25
7467729.00	0.00
7467791.00	0.25
7467798.00	0.00
7467861.00	0.25
7467864.00	0.00
7467971.00	0.25
7467975.00	0.00
7468539.00	0.25
7468542.00	0.00
7468620.00	0.25
7468623.00	0.00
7468696.00	0.25
7468699.00	0.00
7468763.00	0.25
7468770.00	0.00
7468832.00	0.25
7468835.00	0.00
7468901.00	0.25
7468904.00	0.00
7468977.00	0.25
7468980.00	0.00
7469052.00	0.25
7469055.00	0.00
7469120.00	0.25
7469127.00	0.00
7469188.00	0.25
7469191.00	0.00
7469256.00	0.25
7469259.00	0.00
7469325.00	0.25
7469328.00	0.00
7469393.00	0.25
7469396.00	0.00
7469463.00	0.25
7469466.00	0.00
7469531.00	0.25
7469538.00	0.00
7469599.00	0.25
7469602.00	0.00
7469677.00	0.25
7469680.00	0.00
7470263.00	0.25
7470267.00	0.00
7470349.00	0.25
7470352.00	0.00
7470418.00	0.25
7470425.00	0.00
7470489.00	0.25
7470493.00	0.00
7470558.00	0.25
7470561.00	0.00
7470626.00	0.25
7470629.00	0.00
7470700.00	0.25
7470703.00	0.00
7470766.00	0.25
7470773.00	0.00
7470834.00	0.25
7470837.00	0.00
7470903.00	0.25
7470907.00	0.00
7470979.00	0.25
7470982.00	0.00
7471050.00	0.25
7471053.00	0.00
7471117.00	0.25
7471124.00	0.00
7471187.00	0.25
7471191.00	0.00
7471255.00	0.25
7471258.00	0.00
7471324.00	0.25
7471327.00	0.00
7471401.00	0.25
7471404.00	0.00
7471972.00	0.25
7471975.00	0.00
7472056.00	0.25
7472063.00	0.00
7472128.00	0.25
7472131.00	0.00
7472200.00	0.25
7472203.00	0.00
7472266.00	0.25
7472269.00	0.00
7472345.00	0.25
7472348.00	0.00
7472417.00	0.25
7472424.00	0.00
7472486.00	0.25
7472489.00	0.00
7472553.00	0.25
7472556.00	0.00
7472621.00	0.25
7472624.00	0.00
7472689.00	0.25
7472693.00	0.00
7472758.00	0.25
7472761.00	0.00
7472826.00	0.25
7472833.00	0.00
7472895.00	0.25
7472898.00	0.00
7472968.00	0.25
7472971.00	0.00
7473042.00	0.25
7473045.00	0.00
7473118.00	0.25
7473121.00	0.00
7473718.00	0.25
7473722.00	0.00
7473788.00	0.25
7473798.00	0.00
7473861.00	0.25
7473864.00	0.00
7473927.00	0.25
7473930.00	0.00
7474005.00	0.25
7474008.00	0.00
7474074.00	0.25
7474077.00	0.00
7474142.00	0.25
7474150.00	0.00
7474215.00	0.25
7474218.00	0.00
7474281.00	0.25
7474284.00	0.00
7474350.00	0.25
7474353.00	0.00
7474418.00	0.25
7474421.00	0.00
7474489.00	0.25
7474492.00	0.00
7474554.00	0.25
7474562.00	0.00
7474623.00	0.25
7474626.00	0.00
7474691.00	0.25
7474694.00	0.00
7474759.00	0.25
7474762.00	0.00
7474837.00	0.25
7474840.00	0.00
7475422.00	0.25
7475429.00	0.00
7475535.00	0.25
7475553.00	0.00
7475579.00	0.25
7475583.00	0.00
7475649.00	0.25
7475652.00	0.00
7475717.00	0.25
7475720.00	0.00
7475788.00	0.25
7475792.00	0.00
7475865.00	0.25
7475872.00	0.00
7475936.00	0.25
7475939.00	0.00
7476012.00	0.25
7476015.00	0.00
7476081.00	0.25
7476083.00	0.00
7476149.00	0.25
7476152.00	0.00
7476217.00	0.25
7476220.00	0.00
7476289.00	0.25
7476296.00	0.00
7476359.00	0.25
7476363.00	0.00
7476426.00	0.25
7476429.00	0.00
7476497.00	0.25
7476500.00	0.00
7476571.00	0.25
7476574.00	0.00
7477142.00	0.25
7477149.00	0.00
7477228.00	0.25
7477231.00	0.00
7477297.00	0.25
7477300.00	0.00
7477367.00	0.25
7477370.00	0.00
7477436.00	0.25
7477438.00	0.00
7477504.00	0.25
7477507.00	0.00
7477573.00	0.25
7477580.00	0.00
7477642.00	0.25
7477645.00	0.00
7477710.00	0.25
7477713.00	0.00
7477780.00	0.25
7477783.00	0.00
7477850.00	0.25
7477854.00	0.00
7477916.00	0.25
7477923.00	0.00
7477993.00	0.25
7477997.00	0.00
7478065.00	0.25
7478068.00	0.00
7478131.00	0.25
7478134.00	0.00
7478202.00	0.25
7478205.00	0.00
7478278.00	0.25
7478285.00	0.00
7478859.00	0.25
7478862.00	0.00
7478985.00	0.25
7478991.00	0.00
7479031.00	0.25
7479034.00	0.00
7479099.00	0.25
7479102.00	0.00
7479168.00	0.25
7479171.00	0.00
7479236.00	0.25
7479243.00	0.00
7479308.00	0.25
7479311.00	0.00
7479374.00	0.25
7479377.00	0.00
7479443.00	0.25
7479446.00	0.00
7479514.00	0.25
7479517.00	0.00
7479580.00	0.25
7479583.00	0.00
7479651.00	0.25
7479659.00	0.00
7479718.00	0.25
7479721.00	0.00
7479786.00	0.25
7479789.00	0.00
7479857.00	0.25
7479860.00	0.00
7479925.00	0.25
7479928.00	0.00
7480010.00	0.25
7480017.00	0.00
7480574.00	0.25
7480577.00	0.00
7480655.00	0.25
7480658.00	0.00
7480730.00	0.25
7480733.00	0.00
7480796.00	0.25
7480800.00	0.00
7480868.00	0.25
7480871.00	0.00
7480935.00	0.25
7480944.00	0.00
7481013.00	0.25
7481017.00	0.00
7481082.00	0.25
7481085.00	0.00
7481151.00	0.25
7481154.00	0.00
7481222.00	0.25
7481225.00	0.00
7481292.00	0.25
7481299.00	0.00
7481361.00	0.25
7481364.00	0.00
7481427.00	0.25
7481430.00	0.00
7481495.00	0.25
7481498.00	0.00
7481566.00	0.25
7481569.00	0.00
7481632.00	0.25
7481639.00	0.00
7481711.00	0.25
7481714.00	0.00
7482283.00	0.25
7482286.00	0.00
7482389.00	0.25
7482415.00	0.00
7482440.00	0.25
7482443.00	0.00
7482506.00	0.25
7482509.00	0.00
7482577.00	0.25
7482580.00	0.00
7482643.00	0.25
7482651.00	0.00
7482712.00	0.25
7482715.00	0.00
7482782.00	0.25
7482786.00	0.00
7482848.00	0.25
7482851.00	0.00
7482919.00	0.25
7482922.00	0.00
7482998.00	0.25
7483001.00	0.00
7483066.00	0.25
7483073.00	0.00
7483138.00	0.25
7483141.00	0.00
7483203.00	0.25
7483206.00	0.00
7483272.00	0.25
7483275.00	0.00
7483340.00	0.25
